ep: 4320, loss: 2.143e-02, elps: 2.111
ep: 4330, loss: 2.401e-01, elps: 2.122
ep: 4340, loss: 1.113e-01, elps: 2.108
ep: 4350, loss: 3.865e-02, elps: 2.127
ep: 4360, loss: 2.077e-02, elps: 2.134
ep: 4370, loss: 2.194e-02, elps: 2.118
ep: 4380, loss: 1.153e-02, elps: 2.113
ep: 4390, loss: 2.207e-02, elps: 2.136
ep: 4400, loss: 2.361e-02, elps: 2.118
ep: 4410, loss: 1.987e-02, elps: 2.134
ep: 4420, loss: 1.056e-02, elps: 2.109
ep: 4430, loss: 8.304e-03, elps: 2.098
ep: 4440, loss: 1.187e-02, elps: 2.113
ep: 4450, loss: 1.298e-02, elps: 2.089
ep: 4460, loss: 1.478e-02, elps: 2.115
ep: 4470, loss: 3.015e-02, elps: 2.101
ep: 4480, loss: 6.403e-02, elps: 2.109
ep: 4490, loss: 2.082e-02, elps: 2.101
ep: 4500, loss: 3.304e-02, elps: 2.136
ep: 4510, loss: 1.635e-02, elps: 2.108
ep: 4520, loss: 1.022e-02, elps: 2.134
ep: 4530, loss: 6.772e-03, elps: 2.135
ep: 4540, loss: 1.031e-02, elps: 2.121
ep: 4550, loss: 3.743e-02, elps: 2.133
ep: 4560, loss: 1.535e-02, elps: 2.112
ep: 4570, loss: 8.898e-03, elps: 2.102
ep: 4580, loss: 5.800e-03, elps: 2.114
ep: 4590, loss: 5.902e-03, elps: 2.126
ep: 4600, loss: 5.204e-03, elps: 2.118
ep: 4610, loss: 3.530e-02, elps: 2.138
ep: 4620, loss: 1.656e-02, elps: 2.106
ep: 4630, loss: 1.131e-02, elps: 2.145
ep: 4640, loss: 1.048e-02, elps: 2.124
ep: 4650, loss: 1.114e-02, elps: 2.111
ep: 4660, loss: 7.817e-03, elps: 2.123
ep: 4670, loss: 4.694e-03, elps: 2.106
ep: 4680, loss: 5.052e-03, elps: 2.133
ep: 4690, loss: 1.975e-02, elps: 2.117
ep: 4700, loss: 1.850e-02, elps: 2.116
ep: 4710, loss: 9.821e-03, elps: 2.087
ep: 4720, loss: 6.281e-03, elps: 2.093
ep: 4730, loss: 6.773e-03, elps: 2.117
ep: 4740, loss: 5.644e-03, elps: 2.123
ep: 4750, loss: 7.728e-03, elps: 2.133
ep: 4760, loss: 6.439e-03, elps: 2.131
ep: 4770, loss: 1.785e-02, elps: 2.107
ep: 4780, loss: 2.245e-01, elps: 2.100
ep: 4790, loss: 6.769e+00, elps: 2.116
ep: 4800, loss: 6.297e-01, elps: 2.134
ep: 4810, loss: 5.749e-01, elps: 2.115
ep: 4820, loss: 4.228e-01, elps: 2.127
ep: 4830, loss: 3.239e-01, elps: 2.126
ep: 4840, loss: 2.340e-01, elps: 2.121
ep: 4850, loss: 2.024e-01, elps: 2.128
ep: 4860, loss: 1.911e-01, elps: 2.116
ep: 4870, loss: 1.862e-01, elps: 2.118
ep: 4880, loss: 1.767e-01, elps: 2.125
ep: 4890, loss: 1.724e-01, elps: 2.086
ep: 4900, loss: 1.659e-01, elps: 2.230
ep: 4910, loss: 1.583e-01, elps: 2.127
ep: 4920, loss: 1.557e-01, elps: 2.156
ep: 4930, loss: 1.440e-01, elps: 2.107
ep: 4940, loss: 1.382e-01, elps: 2.117
ep: 4950, loss: 1.727e-01, elps: 2.118
ep: 4960, loss: 1.386e-01, elps: 2.119
ep: 4970, loss: 1.828e-01, elps: 2.122
ep: 4980, loss: 1.758e-01, elps: 2.111
ep: 4990, loss: 1.785e-01, elps: 2.116
ep: 5000, loss: 1.456e-01, elps: 2.122
ep: 5010, loss: 1.442e-01, elps: 2.112
ep: 5020, loss: 1.761e-01, elps: 2.122
ep: 5030, loss: 1.179e-01, elps: 2.109
ep: 5040, loss: 1.302e-01, elps: 2.138
ep: 5050, loss: 1.559e-01, elps: 2.108
ep: 5060, loss: 1.659e-01, elps: 2.112
ep: 5070, loss: 1.124e-01, elps: 2.116
ep: 5080, loss: 2.148e-01, elps: 2.095
ep: 5090, loss: 1.413e-01, elps: 2.129
ep: 5100, loss: 4.819e-01, elps: 2.125
ep: 5110, loss: 2.426e-01, elps: 2.135
ep: 5120, loss: 1.843e-01, elps: 2.124
ep: 5130, loss: 1.565e-01, elps: 2.130
ep: 5140, loss: 2.288e-01, elps: 2.139
ep: 5150, loss: 1.467e-01, elps: 2.111
ep: 5160, loss: 1.265e-01, elps: 2.130
ep: 5170, loss: 1.162e-01, elps: 2.122
ep: 5180, loss: 1.561e-01, elps: 2.100
ep: 5190, loss: 1.161e-01, elps: 2.130
ep: 5200, loss: 1.610e-01, elps: 2.122
ep: 5210, loss: 2.359e-01, elps: 2.110
ep: 5220, loss: 1.255e-01, elps: 2.115
ep: 5230, loss: 1.266e-01, elps: 2.104
ep: 5240, loss: 1.157e-01, elps: 2.099
ep: 5250, loss: 1.065e-01, elps: 2.099
ep: 5260, loss: 1.531e-01, elps: 2.112
ep: 5270, loss: 1.279e-01, elps: 2.143
ep: 5280, loss: 1.049e-01, elps: 2.107
ep: 5290, loss: 1.004e-01, elps: 2.116
ep: 5300, loss: 1.764e-01, elps: 2.146
ep: 5310, loss: 2.844e-01, elps: 2.103
ep: 5320, loss: 1.890e-01, elps: 2.153
ep: 5330, loss: 1.537e-01, elps: 2.173
ep: 5340, loss: 1.403e-01, elps: 2.140
ep: 5350, loss: 1.225e-01, elps: 2.134
ep: 5360, loss: 1.093e-01, elps: 2.118
ep: 5370, loss: 1.055e-01, elps: 2.133
ep: 5380, loss: 1.313e-01, elps: 2.125
ep: 5390, loss: 1.131e-01, elps: 2.144
ep: 5400, loss: 1.399e-01, elps: 2.115
ep: 5410, loss: 1.287e-01, elps: 2.104
